,traffic_volume,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time
0,5545,,288.28,0.0,0.0,40,Clouds,scattered clouds,02-10-2012 09:00
1,4516,,289.36,0.0,0.0,75,Clouds,broken clouds,02-10-2012 10:00
2,4767,,289.58,0.0,0.0,90,Clouds,overcast clouds,02-10-2012 11:00
3,5026,,290.13,0.0,0.0,90,Clouds,overcast clouds,02-10-2012 12:00
4,4918,,291.14,0.0,0.0,75,Clouds,broken clouds,02-10-2012 13:00
5,5181,,291.72,0.0,0.0,1,Clear,sky is clear,02-10-2012 14:00
6,5584,,293.17,0.0,0.0,1,Clear,sky is clear,02-10-2012 15:00
7,6015,,293.86,0.0,0.0,1,Clear,sky is clear,02-10-2012 16:00
8,5791,,294.14,0.0,0.0,20,Clouds,few clouds,02-10-2012 17:00
9,4770,,293.1,0.0,0.0,20,Clouds,few clouds,02-10-2012 18:00
10,3539,,290.97,0.0,0.0,20,Clouds,few clouds,02-10-2012 19:00
11,2784,,289.38,0.0,0.0,1,Clear,sky is clear,02-10-2012 20:00
12,2361,,288.61,0.0,0.0,1,Clear,sky is clear,02-10-2012 21:00
13,1529,,287.16,0.0,0.0,1,Clear,sky is clear,02-10-2012 22:00
14,963,,285.45,0.0,0.0,1,Clear,sky is clear,02-10-2012 23:00
15,506,,284.63,0.0,0.0,1,Clear,sky is clear,03-10-2012 00:00
16,321,,283.47,0.0,0.0,1,Clear,sky is clear,03-10-2012 01:00
17,273,,281.18,0.0,0.0,1,Clear,sky is clear,03-10-2012 02:00
18,367,,281.09,0.0,0.0,1,Clear,sky is clear,03-10-2012 03:00
19,814,,279.53,0.0,0.0,1,Clear,sky is clear,03-10-2012 04:00
20,2718,,278.62,0.0,0.0,1,Clear,sky is clear,03-10-2012 05:00
21,5673,,278.23,0.0,0.0,1,Clear,sky is clear,03-10-2012 06:00
22,6511,,278.12,0.0,0.0,1,Clear,sky is clear,03-10-2012 08:00
23,5471,,282.48,0.0,0.0,1,Clear,sky is clear,03-10-2012 09:00
24,5097,,291.97,0.0,0.0,1,Clear,sky is clear,03-10-2012 12:00
25,4887,,293.23,0.0,0.0,1,Clear,sky is clear,03-10-2012 13:00
26,5337,,294.31,0.0,0.0,1,Clear,sky is clear,03-10-2012 14:00
27,5692,,295.17,0.0,0.0,1,Clear,sky is clear,03-10-2012 15:00
28,6137,,295.13,0.0,0.0,1,Clear,sky is clear,03-10-2012 16:00
29,4623,,293.66,0.0,0.0,20,Clouds,few clouds,03-10-2012 18:00
30,3591,,290.65,0.0,0.0,20,Clouds,few clouds,03-10-2012 19:00
31,2898,,288.19,0.0,0.0,20,Clouds,few clouds,03-10-2012 20:00
32,2637,,287.1,0.0,0.0,1,Clear,sky is clear,03-10-2012 21:00
33,1777,,286.25,0.0,0.0,1,Clear,sky is clear,03-10-2012 22:00
34,1015,,285.26,0.0,0.0,1,Clear,sky is clear,03-10-2012 23:00
35,598,,284.55,0.0,0.0,1,Clear,sky is clear,04-10-2012 00:00
36,369,,283.47,0.0,0.0,1,Clear,sky is clear,04-10-2012 01:00
37,312,,283.17,0.0,0.0,1,Clear,sky is clear,04-10-2012 02:00
38,367,,282.04,0.0,0.0,1,Clear,sky is clear,04-10-2012 03:00
39,835,,281.69,0.0,0.0,1,Clear,sky is clear,04-10-2012 04:00
40,2726,,281.32,0.0,0.0,1,Clear,sky is clear,04-10-2012 05:00
41,5689,,280.74,0.0,0.0,1,Clear,sky is clear,04-10-2012 06:00
42,6990,,280.57,0.0,0.0,1,Clear,sky is clear,04-10-2012 07:00
43,5985,,281.86,0.0,0.0,1,Clear,sky is clear,04-10-2012 08:00
44,5309,,284.98,0.0,0.0,1,Clear,sky is clear,04-10-2012 09:00
45,4603,,289.18,0.0,0.0,1,Clear,sky is clear,04-10-2012 10:00
46,4884,,291.55,0.0,0.0,1,Clear,sky is clear,04-10-2012 11:00
47,5104,,294.97,0.0,0.0,1,Clear,sky is clear,04-10-2012 12:00
48,5178,,296.38,0.0,0.0,1,Clear,sky is clear,04-10-2012 13:00
49,5501,,297.32,0.0,0.0,1,Clear,sky is clear,04-10-2012 14:00
50,5713,,298.17,0.0,0.0,1,Clear,sky is clear,04-10-2012 15:00
51,6292,,298.06,0.0,0.0,20,Clouds,few clouds,04-10-2012 16:00
52,6057,,297.67,0.0,0.0,20,Clouds,few clouds,04-10-2012 17:00
53,4907,,296.36,0.0,0.0,40,Clouds,scattered clouds,04-10-2012 18:00
54,3503,,293.85,0.0,0.0,40,Clouds,scattered clouds,04-10-2012 19:00
55,3037,,292.43,0.0,0.0,40,Clouds,scattered clouds,04-10-2012 20:00
56,2822,,291.77,0.0,0.0,75,Clouds,broken clouds,04-10-2012 21:00
57,1992,,291.36,0.0,0.0,75,Clouds,broken clouds,04-10-2012 22:00
58,1166,,291.12,0.0,0.0,75,Clouds,broken clouds,04-10-2012 23:00
59,627,,290.63,0.0,0.0,75,Clouds,broken clouds,05-10-2012 00:00
60,388,,290.46,0.0,0.0,40,Clouds,scattered clouds,05-10-2012 01:00
61,368,,289.26,0.0,0.0,0,Clear,sky is clear,05-10-2012 03:00
62,2489,,283.21,0.0,0.0,75,Clouds,broken clouds,05-10-2012 05:00
63,5537,,282.24,0.0,0.0,90,Clouds,overcast clouds,05-10-2012 06:00
64,6628,,281.69,0.0,0.0,90,Clouds,overcast clouds,05-10-2012 07:00
65,5534,,280.57,0.0,0.0,90,Clouds,overcast clouds,05-10-2012 08:00
66,5403,,280.02,0.0,0.0,75,Clouds,broken clouds,05-10-2012 09:00
67,4770,,280.11,0.0,0.0,75,Clouds,broken clouds,05-10-2012 10:00
68,5217,,280.0,0.0,0.0,90,Clouds,overcast clouds,05-10-2012 11:00
69,5870,,280.53,0.0,0.0,90,Clouds,overcast clouds,05-10-2012 12:00
70,5967,,281.43,0.0,0.0,75,Clouds,broken clouds,05-10-2012 13:00
71,6108,,281.78,0.0,0.0,90,Clouds,overcast clouds,05-10-2012 14:00
72,6128,,281.91,0.0,0.0,90,Clouds,overcast clouds,05-10-2012 15:00
73,6069,,281.73,0.0,0.0,90,Clouds,overcast clouds,05-10-2012 16:00
74,6169,,281.42,0.0,0.0,90,Clouds,overcast clouds,05-10-2012 17:00
75,5384,,280.87,0.0,0.0,90,Clouds,overcast clouds,05-10-2012 18:00
76,4063,,280.15,0.0,0.0,90,Clouds,overcast clouds,05-10-2012 19:00
77,3364,,279.78,0.0,0.0,90,Clouds,overcast clouds,05-10-2012 20:00
78,2971,,279.65,0.0,0.0,75,Clouds,broken clouds,05-10-2012 21:00
79,2450,,279.22,0.0,0.0,40,Clouds,scattered clouds,05-10-2012 22:00
80,1832,,279.06,0.0,0.0,40,Clouds,scattered clouds,05-10-2012 23:00
81,1231,,278.81,0.0,0.0,90,Clouds,overcast clouds,06-10-2012 00:00
82,718,,278.55,0.0,0.0,90,Clouds,overcast clouds,06-10-2012 01:00
83,545,,278.59,0.0,0.0,90,Clouds,overcast clouds,06-10-2012 02:00
84,411,,276.99,0.0,0.0,75,Clouds,broken clouds,06-10-2012 04:00
85,688,,276.35,0.0,0.0,20,Clouds,few clouds,06-10-2012 05:00
86,1352,,275.4,0.0,0.0,1,Clear,sky is clear,06-10-2012 06:00
87,2072,,275.17,0.0,0.0,1,Clear,sky is clear,06-10-2012 07:00
88,3342,,274.99,0.0,0.0,1,Clear,sky is clear,06-10-2012 08:00
89,4258,,275.09,0.0,0.0,40,Clouds,scattered clouds,06-10-2012 09:00
90,4861,,276.88,0.0,0.0,20,Clouds,few clouds,06-10-2012 10:00
91,5191,,278.04,0.0,0.0,20,Clouds,few clouds,06-10-2012 11:00
92,5669,,279.08,0.0,0.0,40,Clouds,scattered clouds,06-10-2012 12:00
93,5074,,280.12,0.0,0.0,75,Clouds,broken clouds,06-10-2012 13:00
94,5025,,280.25,0.0,0.0,75,Clouds,broken clouds,06-10-2012 14:00
95,5153,,280.0,0.0,0.0,75,Clouds,broken clouds,06-10-2012 15:00
96,5024,,279.06,0.0,0.0,90,Clouds,overcast clouds,06-10-2012 16:00
97,4779,,278.91,0.0,0.0,90,Clouds,overcast clouds,06-10-2012 17:00
98,4362,,278.39,0.0,0.0,90,Clouds,overcast clouds,06-10-2012 18:00
99,3860,,278.16,0.0,0.0,90,Clouds,overcast clouds,06-10-2012 19:00
100,3160,,278.16,0.0,0.0,90,Clouds,overcast clouds,06-10-2012 20:00
101,2992,,277.93,0.0,0.0,90,Clouds,overcast clouds,06-10-2012 21:00
102,3202,,276.9,0.0,0.0,90,Clouds,overcast clouds,06-10-2012 22:00
103,1941,,276.34,0.0,0.0,75,Clouds,broken clouds,06-10-2012 23:00
104,1233,,276.11,0.0,0.0,75,Clouds,broken clouds,07-10-2012 00:00
105,323,,275.73,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 03:00
106,312,,275.65,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 04:00
107,627,,275.51,0.0,0.0,75,Clouds,broken clouds,07-10-2012 05:00
108,1508,,275.05,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 06:00
109,1539,,274.77,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 07:00
110,2232,,274.77,0.0,0.0,75,Clouds,broken clouds,07-10-2012 08:00
111,4568,,275.55,0.0,0.0,75,Clouds,broken clouds,07-10-2012 09:00
112,4624,,276.24,0.0,0.0,75,Clouds,broken clouds,07-10-2012 10:00
113,4529,,277.01,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 11:00
114,5139,,277.43,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 12:00
115,6640,,278.45,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 13:00
116,6589,,279.27,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 14:00
117,4429,,279.27,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 15:00
118,4329,,279.44,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 16:00
119,3833,,279.32,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 17:00
120,4015,,279.27,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 18:00
121,3382,,278.11,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 19:00
122,2815,,276.79,0.0,0.0,75,Clouds,broken clouds,07-10-2012 20:00
123,2110,,275.73,0.0,0.0,90,Clouds,overcast clouds,07-10-2012 21:00
124,1555,,274.88,0.0,0.0,75,Clouds,broken clouds,07-10-2012 22:00
125,959,,273.92,0.0,0.0,20,Clouds,few clouds,07-10-2012 23:00
126,455,Columbus Day,273.08,0.0,0.0,20,Clouds,few clouds,08-10-2012 00:00
127,336,,272.62,0.0,0.0,20,Clouds,few clouds,08-10-2012 01:00
128,265,,271.78,0.0,0.0,1,Clear,sky is clear,08-10-2012 02:00
129,314,,271.05,0.0,0.0,1,Clear,sky is clear,08-10-2012 03:00
130,779,,270.63,0.0,0.0,1,Clear,sky is clear,08-10-2012 04:00
131,2571,,270.33,0.0,0.0,1,Clear,sky is clear,08-10-2012 05:00
132,5563,,269.61,0.0,0.0,20,Clouds,few clouds,08-10-2012 06:00
133,6676,,270.01,0.0,0.0,20,Clouds,few clouds,08-10-2012 07:00
134,5966,,271.23,0.0,0.0,20,Clouds,few clouds,08-10-2012 08:00
135,4832,,273.71,0.0,0.0,20,Clouds,few clouds,08-10-2012 09:00
136,4395,,276.77,0.0,0.0,20,Clouds,few clouds,08-10-2012 10:00
137,4411,,279.47,0.0,0.0,20,Clouds,few clouds,08-10-2012 11:00
138,4648,,279.84,0.0,0.0,1,Clear,sky is clear,08-10-2012 12:00
139,4602,,282.34,0.0,0.0,40,Clouds,scattered clouds,08-10-2012 13:00
140,5125,,282.94,0.0,0.0,40,Clouds,scattered clouds,08-10-2012 14:00
141,5502,,283.48,0.0,0.0,1,Clear,sky is clear,08-10-2012 15:00
142,5979,,284.33,0.0,0.0,1,Clear,sky is clear,08-10-2012 16:00
143,5663,,284.48,0.0,0.0,40,Clouds,scattered clouds,08-10-2012 17:00
144,4259,,284.23,0.0,0.0,40,Clouds,scattered clouds,08-10-2012 18:00
145,3069,,281.99,0.0,0.0,20,Clouds,few clouds,08-10-2012 19:00
146,2378,,279.81,0.0,0.0,1,Clear,sky is clear,08-10-2012 20:00
147,2030,,279.35,0.0,0.0,1,Clear,sky is clear,08-10-2012 21:00
148,1400,,278.9,0.0,0.0,1,Clear,sky is clear,08-10-2012 22:00
149,917,,278.46,0.0,0.0,1,Clear,sky is clear,08-10-2012 23:00
150,515,,277.78,0.0,0.0,1,Clear,sky is clear,09-10-2012 00:00
151,302,,277.27,0.0,0.0,1,Clear,sky is clear,09-10-2012 01:00
152,251,,277.47,0.0,0.0,1,Clear,sky is clear,09-10-2012 02:00
153,798,,276.97,0.0,0.0,20,Clouds,few clouds,09-10-2012 04:00
154,2678,,276.52,0.0,0.0,40,Clouds,scattered clouds,09-10-2012 05:00
155,5733,,276.6,0.0,0.0,40,Clouds,scattered clouds,09-10-2012 06:00
156,6449,,277.31,0.0,0.0,75,Clouds,broken clouds,09-10-2012 07:00
157,5765,,278.38,0.0,0.0,90,Clouds,overcast clouds,09-10-2012 08:00
158,5599,,279.35,0.0,0.0,90,Clouds,overcast clouds,09-10-2012 09:00
159,4534,,281.37,0.0,0.0,90,Clouds,overcast clouds,09-10-2012 10:00
160,4691,,283.11,0.0,0.0,90,Clouds,overcast clouds,09-10-2012 11:00
161,5067,,284.08,0.0,0.0,75,Clouds,broken clouds,09-10-2012 12:00
162,5030,,285.14,0.0,0.0,75,Clouds,broken clouds,09-10-2012 13:00
163,5300,,286.35,0.0,0.0,90,Clouds,overcast clouds,09-10-2012 14:00
164,6349,,288.53,0.0,0.0,90,Clouds,overcast clouds,09-10-2012 16:00
165,6127,,290.37,0.0,0.0,90,Clouds,overcast clouds,09-10-2012 17:00
166,4460,,290.13,0.0,0.0,90,Clouds,overcast clouds,09-10-2012 18:00
167,3418,,288.86,0.0,0.0,75,Clouds,broken clouds,09-10-2012 19:00
168,2775,,287.36,0.0,0.0,90,Clouds,overcast clouds,09-10-2012 20:00
169,2306,,285.11,0.0,0.0,90,Clouds,overcast clouds,09-10-2012 21:00
170,1846,,283.46,0.0,0.0,90,Clouds,overcast clouds,09-10-2012 22:00
171,947,,282.45,0.0,0.0,90,Clouds,overcast clouds,09-10-2012 23:00
172,494,,281.88,0.0,0.0,90,Clouds,overcast clouds,10-10-2012 00:00
173,332,,281.78,0.0,0.0,90,Clouds,overcast clouds,10-10-2012 01:00
174,261,,281.09,0.0,0.0,75,Clouds,broken clouds,10-10-2012 02:00
175,361,,281.17,0.0,0.0,90,Clouds,overcast clouds,10-10-2012 03:00
176,5875,,281.25,0.0,0.0,92,Clear,sky is clear,10-10-2012 06:00
177,6793,,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,10-10-2012 07:00
178,6283,,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,10-10-2012 08:00
179,5680,,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,10-10-2012 09:00
180,4632,,279.67,0.0,0.0,99,Clear,sky is clear,10-10-2012 10:00
181,4887,,280.19,0.0,0.0,1,Clear,sky is clear,10-10-2012 11:00
182,5030,,282.09,0.0,0.0,75,Clouds,broken clouds,10-10-2012 12:00
183,5067,,282.26,0.0,0.0,75,Clouds,broken clouds,10-10-2012 13:00
184,5227,,282.05,0.0,0.0,90,Clouds,overcast clouds,10-10-2012 14:00
185,5610,,281.59,0.0,0.0,90,Clouds,overcast clouds,10-10-2012 15:00
186,6286,,281.23,0.0,0.0,81,Clear,sky is clear,10-10-2012 16:00
187,4775,,282.6,0.0,0.0,81,Clear,sky is clear,10-10-2012 18:00
188,3340,,282.6,0.0,0.0,81,Clear,sky is clear,10-10-2012 19:00
189,3013,,282.6,0.0,0.0,81,Clear,sky is clear,10-10-2012 20:00
190,2603,,282.6,0.0,0.0,81,Clear,sky is clear,10-10-2012 21:00
191,1910,,282.6,0.0,0.0,81,Clear,sky is clear,10-10-2012 22:00
192,1037,,282.6,0.0,0.0,81,Clear,sky is clear,10-10-2012 23:00
193,347,,273.9,0.0,0.0,1,Clear,sky is clear,11-10-2012 01:00
194,350,,274.4,0.0,0.0,75,Clouds,broken clouds,11-10-2012 03:00
195,850,,274.05,0.0,0.0,75,Clouds,broken clouds,11-10-2012 04:00
196,2791,,273.71,0.0,0.0,40,Clouds,scattered clouds,11-10-2012 05:00
197,5809,,272.66,0.0,0.0,1,Clear,sky is clear,11-10-2012 06:00
